company_name,date,number_of_evidence,evidence_no,final_snippet_score
ABBV,2022-02-18,11,9,2
ABBV,2022-02-18,11,10,3
ABBV,2022-02-18,11,11,2
ABBV,2023-02-17,13,1,7
ABBV,2023-02-17,13,2,4
ABBV,2023-02-17,13,3,3
ABBV,2023-02-17,13,4,3
ABBV,2023-02-17,13,5,2
ABBV,2023-02-17,13,6,3
ABBV,2023-02-17,13,7,3
ABBV,2023-02-17,13,8,4
ABBV,2023-02-17,13,9,0
ABBV,2023-02-17,13,10,2
ABBV,2023-02-17,13,11,5
ABBV,2023-02-17,13,12,4
ABBV,2023-02-17,13,13,2
ABBV,2024-02-20,5,1,5
ABBV,2024-02-20,5,2,2
ABBV,2024-02-20,5,3,1
ABBV,2024-02-20,5,4,5
ABBV,2024-02-20,5,5,1
ABNB,2021-02-26,9,1,9
ABNB,2021-02-26,9,2,7
ABNB,2021-02-26,9,3,7
ABNB,2021-02-26,9,4,5
ABNB,2021-02-26,9,5,4
ABNB,2021-02-26,9,6,7
ABNB,2021-02-26,9,7,5
ABNB,2021-02-26,9,8,6
ABNB,2021-02-26,9,9,4
ABNB,2022-02-25,10,1,7
ABNB,2022-02-25,10,2,7
ABNB,2022-02-25,10,3,3
ABNB,2022-02-25,10,4,5
ABNB,2022-02-25,10,5,6
ABNB,2022-02-25,10,6,5
ABNB,2022-02-25,10,7,5
ABNB,2022-02-25,10,8,6
ABNB,2022-02-25,10,9,5
ABNB,2022-02-25,10,10,5
ABNB,2023-02-17,9,1,9
ABNB,2023-02-17,9,2,7
ABNB,2023-02-17,9,3,5
ABNB,2023-02-17,9,4,3
ABNB,2023-02-17,9,5,5
ABNB,2023-02-17,9,6,4
ABNB,2023-02-17,9,7,3
ABNB,2023-02-17,9,8,3
ABNB,2023-02-17,9,9,3
ABNB,2024-02-16,3,1,5
ABNB,2024-02-16,3,2,5
ABNB,2024-02-16,3,3,4
ABT,2021-02-19,13,1,3
ABT,2021-02-19,13,2,4
ABT,2021-02-19,13,3,6
ABT,2021-02-19,13,4,4
ABT,2021-02-19,13,5,4
ABT,2021-02-19,13,6,4
ABT,2021-02-19,13,7,6
ABT,2021-02-19,13,8,5
ABT,2021-02-19,13,9,5
ABT,2021-02-19,13,10,5
ABT,2021-02-19,13,11,1
ABT,2021-02-19,13,12,1
ABT,2021-02-19,13,13,1
ABT,2022-02-18,12,1,4
ABT,2022-02-18,12,2,4
ABT,2022-02-18,12,3,4
ABT,2022-02-18,12,4,4
ABT,2022-02-18,12,5,5
ABT,2022-02-18,12,6,6
ABT,2022-02-18,12,7,6
ABT,2022-02-18,12,8,1
ABT,2022-02-18,12,9,3
ABT,2022-02-18,12,10,0
ABT,2022-02-18,12,11,2
ABT,2022-02-18,12,12,0
ABT,2023-02-17,16,1,9
ABT,2023-02-17,16,2,6
ABT,2023-02-17,16,3,1
ABT,2023-02-17,16,4,5
ABT,2023-02-17,16,5,9
ABT,2023-02-17,16,6,9
ABT,2023-02-17,16,7,7
ABT,2023-02-17,16,8,1
ABT,2023-02-17,16,9,5
ABT,2023-02-17,16,10,4
ABT,2023-02-17,16,11,6
ABT,2023-02-17,16,12,5
ABT,2023-02-17,16,13,7
ABT,2023-02-17,16,14,7
ABT,2023-02-17,16,15,1
ABT,2023-02-17,16,16,5
ABT,2024-02-16,8,1,6
ABT,2024-02-16,8,2,5
ABT,2024-02-16,8,3,6
ABT,2024-02-16,8,4,2
ABT,2024-02-16,8,5,5
ABT,2024-02-16,8,6,2
ABT,2024-02-16,8,7,1
ABT,2024-02-16,8,8,5
ACGL,2021-02-26,12,1,7
ACGL,2021-02-26,12,2,6
ACGL,2021-02-26,12,3,7
ACGL,2021-02-26,12,4,7
ACGL,2021-02-26,12,5,5
ACGL,2021-02-26,12,6,6
ACGL,2021-02-26,12,7,8
ACGL,2021-02-26,12,8,5
ACGL,2021-02-26,12,9,5
ACGL,2021-02-26,12,10,9
ACGL,2021-02-26,12,11,6
ACGL,2021-02-26,12,12,5
ACGL,2022-02-25,12,1,7
ACGL,2022-02-25,12,2,6
ACGL,2022-02-25,12,3,7
ACGL,2022-02-25,12,4,7
ACGL,2022-02-25,12,5,5
ACGL,2022-02-25,12,6,5
ACGL,2022-02-25,12,7,3
ACGL,2022-02-25,12,8,4
ACGL,2022-02-25,12,9,7
ACGL,2022-02-25,12,10,5
ACGL,2022-02-25,12,11,4
ACGL,2022-02-25,12,12,1
ACGL,2023-02-24,10,1,8
ACGL,2023-02-24,10,2,7
ACGL,2023-02-24,10,3,1
ACGL,2023-02-24,10,4,7
ACGL,2023-02-24,10,5,5
ACGL,2023-02-24,10,6,2
ACGL,2023-02-24,10,7,4
ACGL,2023-02-24,10,8,6
ACGL,2023-02-24,10,9,7
ACGL,2023-02-24,10,10,0
ACGL,2024-02-23,7,1,2
ACGL,2024-02-23,7,2,3
ACGL,2024-02-23,7,3,4
ACGL,2024-02-23,7,4,1
ACGL,2024-02-23,7,5,0
ACGL,2024-02-23,7,6,-2
ACGL,2024-02-23,7,7,4
ACN,2021-10-15,11,1,7
ACN,2021-10-15,11,2,8
ACN,2021-10-15,11,3,6
ACN,2021-10-15,11,4,5
ACN,2021-10-15,11,5,4
ACN,2021-10-15,11,6,5
ACN,2021-10-15,11,7,5
ACN,2021-10-15,11,8,5
ACN,2021-10-15,11,9,5
ACN,2021-10-15,11,10,4
ACN,2021-10-15,11,11,4
ACN,2022-10-12,5,1,5
ACN,2022-10-12,5,2,6
ACN,2022-10-12,5,3,2
ACN,2022-10-12,5,4,1
ACN,2022-10-12,5,5,1
ACN,2023-10-12,5,1,6
ACN,2023-10-12,5,2,5
ACN,2023-10-12,5,3,4
ACN,2023-10-12,5,4,4
ACN,2023-10-12,5,5,3
ACN,2024-10-10,3,1,5
ACN,2024-10-10,3,2,3
ACN,2024-10-10,3,3,1
ADBE,2021-01-15,13,1,9
ADBE,2021-01-15,13,2,7
ADBE,2021-01-15,13,3,5
ADBE,2021-01-15,13,4,4
ADBE,2021-01-15,13,5,5
ADBE,2021-01-15,13,6,5
ADBE,2021-01-15,13,7,4
ADBE,2021-01-15,13,8,6
ADBE,2021-01-15,13,9,8
ADBE,2021-01-15,13,10,7
ADBE,2021-01-15,13,11,4
ADBE,2021-01-15,13,12,4
ADBE,2021-01-15,13,13,3
ADBE,2022-01-21,13,1,7
ADBE,2022-01-21,13,2,4
ADBE,2022-01-21,13,3,4
ADBE,2022-01-21,13,4,4
ADBE,2022-01-21,13,5,7
ADBE,2022-01-21,13,6,6
ADBE,2022-01-21,13,7,5
ADBE,2022-01-21,13,8,2
ADBE,2022-01-21,13,9,5
ADBE,2022-01-21,13,10,3
ADBE,2022-01-21,13,11,2
ADBE,2022-01-21,13,12,5
ADBE,2022-01-21,13,13,5
ADBE,2023-01-17,4,1,5
ADBE,2023-01-17,4,2,7
ADBE,2023-01-17,4,3,3
ADBE,2023-01-17,4,4,5
ADBE,2024-01-17,6,1,5
ADBE,2024-01-17,6,2,1
ADBE,2024-01-17,6,3,1
ADBE,2024-01-17,6,4,0
ADBE,2024-01-17,6,5,1
ADBE,2024-01-17,6,6,1
ADI,2021-12-03,15,1,2
ADI,2021-12-03,15,2,8
ADI,2021-12-03,15,3,7
ADI,2021-12-03,15,4,3
ADI,2021-12-03,15,5,7
ADI,2021-12-03,15,6,5
ADI,2021-12-03,15,7,3
ADI,2021-12-03,15,8,6
ADI,2021-12-03,15,9,3
ADI,2021-12-03,15,10,6
ADI,2021-12-03,15,11,6
ADI,2021-12-03,15,12,6
ADI,2021-12-03,15,13,7
ADI,2021-12-03,15,14,2
ADI,2021-12-03,15,15,4
ADI,2022-11-22,10,1,3
ADI,2022-11-22,10,2,2
ADI,2022-11-22,10,3,7
ADI,2022-11-22,10,4,6
ADI,2022-11-22,10,5,1
ADI,2022-11-22,10,6,2
ADI,2022-11-22,10,7,2
ADI,2022-11-22,10,8,4
ADI,2022-11-22,10,9,5
ADI,2022-11-22,10,10,2
ADI,2023-11-21,9,1,3
ADI,2023-11-21,9,2,4
ADI,2023-11-21,9,3,1
ADI,2023-11-21,9,4,4
ADI,2023-11-21,9,5,8
ADI,2023-11-21,9,6,4
ADI,2023-11-21,9,7,1
ADI,2023-11-21,9,8,4
ADI,2023-11-21,9,9,1
ADI,2024-11-26,3,1,5
ADI,2024-11-26,3,2,2
ADI,2024-11-26,3,3,4
ADM,2021-02-18,16,1,3
ADM,2021-02-18,16,2,7
ADM,2021-02-18,16,3,3
ADM,2021-02-18,16,4,6
ADM,2021-02-18,16,5,3
ADM,2021-02-18,16,6,7
ADM,2021-02-18,16,7,4
ADM,2021-02-18,16,8,4
ADM,2021-02-18,16,9,2
ADM,2021-02-18,16,10,5
ADM,2021-02-18,16,11,6
ADM,2021-02-18,16,12,6
ADM,2021-02-18,16,13,1
ADM,2021-02-18,16,14,2
ADM,2021-02-18,16,15,2
ADM,2021-02-18,16,16,1
ADM,2022-02-17,10,1,5
ADM,2022-02-17,10,2,4
ADM,2022-02-17,10,3,5
ADM,2022-02-17,10,4,3
ADM,2022-02-17,10,5,4
ADM,2022-02-17,10,6,2
ADM,2022-02-17,10,7,2
ADM,2022-02-17,10,8,3
ADM,2022-02-17,10,9,1
ADM,2022-02-17,10,10,2
ADM,2023-02-14,7,1,4
ADM,2023-02-14,7,2,3
ADM,2023-02-14,7,3,7
ADM,2023-02-14,7,4,5
ADM,2023-02-14,7,5,6
ADM,2023-02-14,7,6,6
ADM,2023-02-14,7,7,2
ADM,2024-03-12,5,1,3
ADM,2024-03-12,5,2,8
ADM,2024-03-12,5,3,7
ADM,2024-03-12,5,4,3
ADM,2024-03-12,5,5,6
ADP,2021-08-04,6,1,9
ADP,2021-08-04,6,2,7
ADP,2021-08-04,6,3,5
ADP,2021-08-04,6,4,3
ADP,2021-08-04,6,5,6
ADP,2021-08-04,6,6,2
ADP,2022-08-03,7,1,6
ADP,2022-08-03,7,2,5
ADP,2022-08-03,7,3,4
ADP,2022-08-03,7,4,3
ADP,2022-08-03,7,5,2
ADP,2022-08-03,7,6,3
ADP,2022-08-03,7,7,3
ADP,2023-08-03,5,1,7
ADP,2023-08-03,5,2,2
ADP,2023-08-03,5,3,3
ADP,2023-08-03,5,4,1
ADP,2023-08-03,5,5,2
ADP,2024-08-07,6,1,4
ADP,2024-08-07,6,2,5
ADP,2024-08-07,6,3,4
ADP,2024-08-07,6,4,3
ADP,2024-08-07,6,5,1
ADP,2024-08-07,6,6,1
ADSK,2021-03-19,8,1,7
ADSK,2021-03-19,8,2,7
ADSK,2021-03-19,8,3,6
ADSK,2021-03-19,8,4,3
ADSK,2021-03-19,8,5,8
ADSK,2021-03-19,8,6,7
ADSK,2021-03-19,8,7,9
ADSK,2021-03-19,8,8,4
ADSK,2022-03-14,6,1,7
ADSK,2022-03-14,6,2,3
ADSK,2022-03-14,6,3,7
ADSK,2022-03-14,6,4,5
ADSK,2022-03-14,6,5,2
ADSK,2022-03-14,6,6,5
ADSK,2023-03-14,12,1,2
ADSK,2023-03-14,12,2,6
ADSK,2023-03-14,12,3,7
ADSK,2023-03-14,12,4,4
ADSK,2023-03-14,12,5,4
ADSK,2023-03-14,12,6,2
ADSK,2023-03-14,12,7,3
ADSK,2023-03-14,12,8,2
ADSK,2023-03-14,12,9,5
ADSK,2023-03-14,12,10,4
ADSK,2023-03-14,12,11,4
ADSK,2023-03-14,12,12,4
ADSK,2024-06-10,4,1,4
ADSK,2024-06-10,4,2,4
ADSK,2024-06-10,4,3,5
ADSK,2024-06-10,4,4,4
AEE,2021-02-22,19,1,8
AEE,2021-02-22,19,2,7
AEE,2021-02-22,19,3,3
AEE,2021-02-22,19,4,2
AEE,2021-02-22,19,5,4
AEE,2021-02-22,19,6,3
AEE,2021-02-22,19,7,2
AEE,2021-02-22,19,8,1
AEE,2021-02-22,19,9,3
AEE,2021-02-22,19,10,3
AEE,2021-02-22,19,11,2
AEE,2021-02-22,19,12,2
AEE,2021-02-22,19,13,3
AEE,2021-02-22,19,14,6
AEE,2021-02-22,19,15,3
AEE,2021-02-22,19,16,2
AEE,2021-02-22,19,17,3
AEE,2021-02-22,19,18,2
AEE,2021-02-22,19,19,1
AEE,2022-02-23,10,1,9
AEE,2022-02-23,10,2,6
AEE,2022-02-23,10,3,6
AEE,2022-02-23,10,4,5
AEE,2022-02-23,10,5,5
AEE,2022-02-23,10,6,4
AEE,2022-02-23,10,7,5
AEE,2022-02-23,10,8,5
AEE,2022-02-23,10,9,4
AEE,2022-02-23,10,10,4
AEE,2023-02-22,6,1,6
AEE,2023-02-22,6,2,4
AEE,2023-02-22,6,3,1
AEE,2023-02-22,6,4,6
AEE,2023-02-22,6,5,3
AEE,2023-02-22,6,6,1
AEE,2024-02-29,3,1,5
AEE,2024-02-29,3,2,4
AEE,2024-02-29,3,3,6
AEP,2024-02-26,2,1,6
AEP,2024-02-26,2,2,3
AES,2021-02-25,10,1,6
AES,2021-02-25,10,2,7
AES,2021-02-25,10,3,8
AES,2021-02-25,10,4,6
AES,2021-02-25,10,5,8
AES,2021-02-25,10,6,7
AES,2021-02-25,10,7,6
AES,2021-02-25,10,8,6
AES,2021-02-25,10,9,7
AES,2021-02-25,10,10,7
AES,2022-02-28,26,1,7
AES,2022-02-28,26,2,7
AES,2022-02-28,26,3,6
AES,2022-02-28,26,4,5
AES,2022-02-28,26,5,6
AES,2022-02-28,26,6,5
AES,2022-02-28,26,7,6
AES,2022-02-28,26,8,5
AES,2022-02-28,26,9,3
AES,2022-02-28,26,10,3
AES,2022-02-28,26,11,4
AES,2022-02-28,26,12,4
AES,2022-02-28,26,13,4
AES,2022-02-28,26,14,4
AES,2022-02-28,26,15,4
AES,2022-02-28,26,16,3
AES,2022-02-28,26,17,2
AES,2022-02-28,26,18,6
AES,2022-02-28,26,19,3
AES,2022-02-28,26,20,3
AES,2022-02-28,26,21,3
AES,2022-02-28,26,22,4
AES,2022-02-28,26,23,3
AES,2022-02-28,26,24,7
AES,2022-02-28,26,25,4
AES,2022-02-28,26,26,4
AES,2023-03-01,10,1,7
AES,2023-03-01,10,2,4
AES,2023-03-01,10,3,5
AES,2023-03-01,10,4,4
AES,2023-03-01,10,5,4
AES,2023-03-01,10,6,3
AES,2023-03-01,10,7,6
AES,2023-03-01,10,8,4
AES,2023-03-01,10,9,3
AES,2023-03-01,10,10,1
AES,2024-02-26,12,1,2
AES,2024-02-26,12,2,5
AES,2024-02-26,12,3,3
AES,2024-02-26,12,4,2
AES,2024-02-26,12,5,3
AES,2024-02-26,12,6,2
AES,2024-02-26,12,7,3
AES,2024-02-26,12,8,3
AES,2024-02-26,12,9,2
AES,2024-02-26,12,10,3
AES,2024-02-26,12,11,3
AES,2024-02-26,12,12,1
AFL,2022-02-23,6,1,7
AFL,2022-02-23,6,2,5
AFL,2022-02-23,6,3,8
AFL,2022-02-23,6,4,6
AFL,2022-02-23,6,5,5
AFL,2022-02-23,6,6,4
AFL,2023-02-24,9,1,7
AFL,2023-02-24,9,2,4
AFL,2023-02-24,9,3,3
AFL,2023-02-24,9,4,2
AFL,2023-02-24,9,5,3
AFL,2023-02-24,9,6,5
AFL,2023-02-24,9,7,2
AFL,2023-02-24,9,8,2
AFL,2023-02-24,9,9,5
AFL,2024-02-22,4,1,3
AFL,2024-02-22,4,2,1
AFL,2024-02-22,4,3,3
AFL,2024-02-22,4,4,1
AIG,2021-02-19,12,1,8
AIG,2021-02-19,12,2,6
AIG,2021-02-19,12,3,6
AIG,2021-02-19,12,4,5
AIG,2021-02-19,12,5,7
AIG,2021-02-19,12,6,6
AIG,2021-02-19,12,7,3
AIG,2021-02-19,12,8,5
AIG,2021-02-19,12,9,5
AIG,2021-02-19,12,10,5
AIG,2021-02-19,12,11,6
AIG,2021-02-19,12,12,6
AIG,2022-02-17,6,1,8
AIG,2022-02-17,6,2,7
AIG,2022-02-17,6,3,7
AIG,2022-02-17,6,4,3
AIG,2022-02-17,6,5,5
AIG,2022-02-17,6,6,5
AIG,2023-02-17,6,1,7
AIG,2023-02-17,6,2,8
AIG,2023-02-17,6,3,8
AIG,2023-02-17,6,4,5
AIG,2023-02-17,6,5,4
AIG,2023-02-17,6,6,3
AIG,2024-02-14,9,1,7
AIG,2024-02-14,9,2,2
AIG,2024-02-14,9,3,3
AIG,2024-02-14,9,4,8
AIG,2024-02-14,9,5,8
AIG,2024-02-14,9,6,6
AIG,2024-02-14,9,7,5
AIG,2024-02-14,9,8,3
AIG,2024-02-14,9,9,4
AIZ,2021-02-19,23,1,6
AIZ,2021-02-19,23,2,6
AIZ,2021-02-19,23,3,8
AIZ,2021-02-19,23,4,7
AIZ,2021-02-19,23,5,7
AIZ,2021-02-19,23,6,6
AIZ,2021-02-19,23,7,6
AIZ,2021-02-19,23,8,7
AIZ,2021-02-19,23,9,5
AIZ,2021-02-19,23,10,5
AIZ,2021-02-19,23,11,4
AIZ,2021-02-19,23,12,6
AIZ,2021-02-19,23,13,6
AIZ,2021-02-19,23,14,-2
AIZ,2021-02-19,23,15,6
AIZ,2021-02-19,23,16,5
AIZ,2021-02-19,23,17,4
AIZ,2021-02-19,23,18,-1
AIZ,2021-02-19,23,19,5
AIZ,2021-02-19,23,20,5
AIZ,2021-02-19,23,21,6
AIZ,2021-02-19,23,22,5
AIZ,2021-02-19,23,23,4
AIZ,2022-02-22,16,1,7
AIZ,2022-02-22,16,2,4
AIZ,2022-02-22,16,3,7
AIZ,2022-02-22,16,4,4
AIZ,2022-02-22,16,5,5
AIZ,2022-02-22,16,6,5
AIZ,2022-02-22,16,7,5
AIZ,2022-02-22,16,8,3
AIZ,2022-02-22,16,9,4
AIZ,2022-02-22,16,10,4
AIZ,2022-02-22,16,11,3
AIZ,2022-02-22,16,12,4
AIZ,2022-02-22,16,13,3
AIZ,2022-02-22,16,14,5
AIZ,2022-02-22,16,15,5
AIZ,2022-02-22,16,16,5
AIZ,2023-02-17,6,1,8
AIZ,2023-02-17,6,2,5
AIZ,2023-02-17,6,3,2
AIZ,2023-02-17,6,4,4
AIZ,2023-02-17,6,5,5
AIZ,2023-02-17,6,6,5
AIZ,2024-02-15,4,1,4
AIZ,2024-02-15,4,2,6
AIZ,2024-02-15,4,3,5
AIZ,2024-02-15,4,4,5
AJG,2021-02-08,10,1,7
AJG,2021-02-08,10,2,4
AJG,2021-02-08,10,3,8
AJG,2021-02-08,10,4,5
AJG,2021-02-08,10,5,2
AJG,2021-02-08,10,6,6
AJG,2021-02-08,10,7,2
AJG,2021-02-08,10,8,6
AJG,2021-02-08,10,9,2
AJG,2021-02-08,10,10,3
AJG,2022-02-18,6,1,5
AJG,2022-02-18,6,2,7
AJG,2022-02-18,6,3,5
AJG,2022-02-18,6,4,5
AJG,2022-02-18,6,5,2
AJG,2022-02-18,6,6,1
AJG,2023-02-10,6,1,8
AJG,2023-02-10,6,2,6
AJG,2023-02-10,6,3,7
AJG,2023-02-10,6,4,3
AJG,2023-02-10,6,5,7
AJG,2023-02-10,6,6,2
AJG,2024-02-09,4,1,4
AJG,2024-02-09,4,2,6
AJG,2024-02-09,4,3,6
AJG,2024-02-09,4,4,4
AKAM,2021-02-26,13,1,6
AKAM,2021-02-26,13,2,6
AKAM,2021-02-26,13,3,6
AKAM,2021-02-26,13,4,5
AKAM,2021-02-26,13,5,5
AKAM,2021-02-26,13,6,5
AKAM,2021-02-26,13,7,6
AKAM,2021-02-26,13,8,5
AKAM,2021-02-26,13,9,4
AKAM,2021-02-26,13,10,2
AKAM,2021-02-26,13,11,2
AKAM,2021-02-26,13,12,0
AKAM,2021-02-26,13,13,1
AKAM,2022-02-28,13,1,5
AKAM,2022-02-28,13,2,4
AKAM,2022-02-28,13,3,6
AKAM,2022-02-28,13,4,5
AKAM,2022-02-28,13,5,5
AKAM,2022-02-28,13,6,2
AKAM,2022-02-28,13,7,6
AKAM,2022-02-28,13,8,7
AKAM,2022-02-28,13,9,4
AKAM,2022-02-28,13,10,2
AKAM,2022-02-28,13,11,3
AKAM,2022-02-28,13,12,2
AKAM,2022-02-28,13,13,2
AKAM,2023-02-28,11,1,1
AKAM,2023-02-28,11,2,5
AKAM,2023-02-28,11,3,6
AKAM,2023-02-28,11,4,5
AKAM,2023-02-28,11,5,7
AKAM,2023-02-28,11,6,8
AKAM,2023-02-28,11,7,4
AKAM,2023-02-28,11,8,6
AKAM,2023-02-28,11,9,4
AKAM,2023-02-28,11,10,1
AKAM,2023-02-28,11,11,6
AKAM,2024-02-28,5,1,4
AKAM,2024-02-28,5,2,4
AKAM,2024-02-28,5,3,3
AKAM,2024-02-28,5,4,3
AKAM,2024-02-28,5,5,3
ALB,2021-02-19,8,1,7
ALB,2021-02-19,8,2,4
ALB,2021-02-19,8,3,2
ALB,2021-02-19,8,4,-2
ALB,2021-02-19,8,5,7
ALB,2021-02-19,8,6,1
ALB,2021-02-19,8,7,4
ALB,2021-02-19,8,8,3
ALB,2022-02-22,5,1,5
ALB,2022-02-22,5,2,4
ALB,2022-02-22,5,3,4
ALB,2022-02-22,5,4,1
ALB,2022-02-22,5,5,0
ALB,2023-02-15,4,1,7
ALB,2023-02-15,4,2,5
ALB,2023-02-15,4,3,4
ALB,2023-02-15,4,4,1
ALB,2024-02-15,4,1,4
ALB,2024-02-15,4,2,3
ALB,2024-02-15,4,3,3
ALB,2024-02-15,4,4,0
ALGN,2021-02-26,12,1,8
ALGN,2021-02-26,12,2,8
ALGN,2021-02-26,12,3,9
ALGN,2021-02-26,12,4,7
ALGN,2021-02-26,12,5,6
ALGN,2021-02-26,12,6,7
ALGN,2021-02-26,12,7,5
ALGN,2021-02-26,12,8,5
ALGN,2021-02-26,12,9,5
ALGN,2021-02-26,12,10,4
ALGN,2021-02-26,12,11,7
ALGN,2021-02-26,12,12,5
ALGN,2022-02-25,15,1,9
ALGN,2022-02-25,15,2,8
ALGN,2022-02-25,15,3,5
ALGN,2022-02-25,15,4,2
ALGN,2022-02-25,15,5,5
ALGN,2022-02-25,15,6,1
ALGN,2022-02-25,15,7,6
ALGN,2022-02-25,15,8,4
ALGN,2022-02-25,15,9,6
ALGN,2022-02-25,15,10,4
ALGN,2022-02-25,15,11,5
ALGN,2022-02-25,15,12,3
ALGN,2022-02-25,15,13,4
ALGN,2022-02-25,15,14,6
ALGN,2022-02-25,15,15,2
ALGN,2023-02-27,8,1,7
ALGN,2023-02-27,8,2,8
ALGN,2023-02-27,8,3,2
ALGN,2023-02-27,8,4,7
ALGN,2023-02-27,8,5,5
ALGN,2023-02-27,8,6,6
ALGN,2023-02-27,8,7,5
ALGN,2023-02-27,8,8,5
ALGN,2024-02-28,7,1,2
ALGN,2024-02-28,7,2,2
ALGN,2024-02-28,7,3,3
ALGN,2024-02-28,7,4,6
ALGN,2024-02-28,7,5,4
ALGN,2024-02-28,7,6,2
ALGN,2024-02-28,7,7,3
ALLE,2021-02-16,9,1,7
ALLE,2021-02-16,9,2,9
ALLE,2021-02-16,9,3,6
ALLE,2021-02-16,9,4,8
ALLE,2021-02-16,9,5,10
ALLE,2021-02-16,9,6,6
ALLE,2021-02-16,9,7,7
ALLE,2021-02-16,9,8,4
ALLE,2021-02-16,9,9,3
ALLE,2022-02-15,11,1,6
ALLE,2022-02-15,11,2,2
ALLE,2022-02-15,11,3,6
ALLE,2022-02-15,11,4,5
ALLE,2022-02-15,11,5,6
ALLE,2022-02-15,11,6,6
ALLE,2022-02-15,11,7,3
ALLE,2022-02-15,11,8,1
ALLE,2022-02-15,11,9,2
ALLE,2022-02-15,11,10,2
ALLE,2022-02-15,11,11,5
ALLE,2023-02-22,8,1,9
ALLE,2023-02-22,8,2,9
ALLE,2023-02-22,8,3,3
ALLE,2023-02-22,8,4,4
ALLE,2023-02-22,8,5,3
ALLE,2023-02-22,8,6,4
ALLE,2023-02-22,8,7,1
ALLE,2023-02-22,8,8,6
ALLE,2024-02-20,6,1,6
ALLE,2024-02-20,6,2,5
ALLE,2024-02-20,6,3,6
ALLE,2024-02-20,6,4,6
ALLE,2024-02-20,6,5,4
ALLE,2024-02-20,6,6,5
ALL,2021-02-22,6,1,5
ALL,2021-02-22,6,2,5
ALL,2021-02-22,6,3,8
ALL,2021-02-22,6,4,-1
ALL,2021-02-22,6,5,2
ALL,2021-02-22,6,6,7
ALL,2022-02-18,12,1,6
ALL,2022-02-18,12,2,7
ALL,2022-02-18,12,3,8
ALL,2022-02-18,12,4,7
ALL,2022-02-18,12,5,4
ALL,2022-02-18,12,6,6
ALL,2022-02-18,12,7,7
ALL,2022-02-18,12,8,8
ALL,2022-02-18,12,9,8
ALL,2022-02-18,12,10,5
ALL,2022-02-18,12,11,1
ALL,2022-02-18,12,12,5
ALL,2023-02-16,9,1,6
ALL,2023-02-16,9,2,9
ALL,2023-02-16,9,3,7
ALL,2023-02-16,9,4,6
ALL,2023-02-16,9,5,7
ALL,2023-02-16,9,6,5
ALL,2023-02-16,9,7,6
ALL,2023-02-16,9,8,4
ALL,2023-02-16,9,9,8
ALL,2024-02-21,6,1,4
ALL,2024-02-21,6,2,4
ALL,2024-02-21,6,3,5
ALL,2024-02-21,6,4,3
ALL,2024-02-21,6,5,4
ALL,2024-02-21,6,6,3
AMAT,2021-12-17,10,1,8
AMAT,2021-12-17,10,2,7
AMAT,2021-12-17,10,3,2
AMAT,2021-12-17,10,4,7
AMAT,2021-12-17,10,5,7
AMAT,2021-12-17,10,6,3
AMAT,2021-12-17,10,7,2
AMAT,2021-12-17,10,8,5
AMAT,2021-12-17,10,9,4
AMAT,2021-12-17,10,10,4
AMAT,2022-12-16,6,1,7
AMAT,2022-12-16,6,2,6
AMAT,2022-12-16,6,3,7
