company_name,date,item_1a_scores,item_7_scores,total_scores
ADBE,2022-01-21,"[7, 4, 4, 4, 7, 6, 5, 2, 5, 3, 2, 5, 5]",[7],"[7, 4, 4, 4, 7, 6, 5, 2, 5, 3, 2, 5, 5, 7]"
ADBE,2023-01-17,"[5, 7, 3, 5]",[],"[5, 7, 3, 5]"
ADBE,2024-01-17,"[5, 1, 1, 0, 1, 1]",[],"[5, 1, 1, 0, 1, 1]"
ADI,2021-12-03,"[2, 8, 7, 3, 7, 5, 3, 6, 3, 6, 6, 6, 7, 2, 4]","[2, 8, 3, 2, 4]","[2, 8, 7, 3, 7, 5, 3, 6, 3, 6, 6, 6, 7, 2, 4, 2, 8, 3, 2, 4]"
ADI,2022-11-22,"[3, 2, 7, 6, 1, 2, 4, 5, 2]","[1, 2]","[3, 2, 7, 6, 1, 2, 4, 5, 2, 1, 2]"
ADI,2023-11-21,"[3, 4, 1, 4, 8, 4, 1, 4, 1]",[],"[3, 4, 1, 4, 8, 4, 1, 4, 1]"
ADI,2024-11-26,"[5, 2, 4]",[],"[5, 2, 4]"
ADM,2021-02-18,"[3, 7, 3, 6, 3, 7, 4, 1, 2, 2, 1]","[4, 2, 5, 6, 6]","[3, 7, 3, 6, 3, 7, 4, 1, 2, 2, 1, 4, 2, 5, 6, 6]"
ADM,2022-02-17,"[5, 4, 5, 3, 4, 2]","[2, 3, 1, 2]","[5, 4, 5, 3, 4, 2, 2, 3, 1, 2]"
ADM,2023-02-14,"[4, 3, 7, 5, 6, 6, 2]",[],"[4, 3, 7, 5, 6, 6, 2]"
ADM,2024-03-12,"[3, 8, 7, 3, 6]",[],"[3, 8, 7, 3, 6]"
ADP,2021-08-04,"[9, 7, 5, 3, 6]",[2],"[9, 7, 5, 3, 6, 2]"
ADP,2022-08-03,"[6, 5, 4, 3, 2, 3]",[3],"[6, 5, 4, 3, 2, 3, 3]"
ADP,2023-08-03,"[7, 2, 3, 2]",[1],"[7, 2, 3, 2, 1]"
ADP,2024-08-07,"[4, 5, 4, 3, 1, 1]",[],"[4, 5, 4, 3, 1, 1]"
ADSK,2021-03-19,"[7, 7, 6, 3, 8, 7, 9, 4]",[7],"[7, 7, 6, 3, 8, 7, 9, 4, 7]"
ADSK,2022-03-14,"[7, 3, 7, 5, 2, 5]","[3, 7]","[7, 3, 7, 5, 2, 5, 3, 7]"
ADSK,2023-03-14,"[2, 6, 7, 4, 4, 2, 3, 2, 5, 4, 4]","[2, 4]","[2, 6, 7, 4, 4, 2, 3, 2, 5, 4, 4, 2, 4]"
ADSK,2024-06-10,"[4, 4, 5, 4]",[],"[4, 4, 5, 4]"
AEE,2021-02-22,"[8, 7, 3, 2, 4, 3, 2, 1, 3, 3, 2, 2, 3, 6, 3, 2, 3, 2, 1]","[7, 3, 3, 2, 1, 3, 2, 2, 3, 6, 1]","[8, 7, 3, 2, 4, 3, 2, 1, 3, 3, 2, 2, 3, 6, 3, 2, 3, 2, 1, 7, 3, 3, 2, 1, 3, 2, 2, 3, 6, 1]"
AEE,2022-02-23,"[9, 6, 6, 5, 5, 4, 5, 5, 4]","[6, 5, 4]","[9, 6, 6, 5, 5, 4, 5, 5, 4, 6, 5, 4]"
AEE,2023-02-22,"[6, 4, 1, 6, 1]","[6, 3]","[6, 4, 1, 6, 1, 6, 3]"
AEE,2024-02-29,"[5, 4]",[6],"[5, 4, 6]"
AEP,2024-02-26,"[6, 3]",[],"[6, 3]"
AES,2021-02-25,"[6, 7, 8, 6, 8, 7, 6, 6, 7, 7]","[6, 6]","[6, 7, 8, 6, 8, 7, 6, 6, 7, 7, 6, 6]"
AES,2022-02-28,"[7, 7, 6, 5, 6, 5, 6, 5, 3, 3, 4, 4, 4, 4, 4, 3, 2, 6, 3, 3, 3, 4, 3, 7, 4, 4]","[4, 3, 3]","[7, 7, 6, 5, 6, 5, 6, 5, 3, 3, 4, 4, 4, 4, 4, 3, 2, 6, 3, 3, 3, 4, 3, 7, 4, 4, 4, 3, 3]"
AES,2023-03-01,"[7, 4, 5, 4, 4, 3, 6, 4, 3, 1]",[],"[7, 4, 5, 4, 4, 3, 6, 4, 3, 1]"
AES,2024-02-26,"[2, 5, 3, 2, 3, 2, 3, 3, 2, 3, 3, 1]",[3],"[2, 5, 3, 2, 3, 2, 3, 3, 2, 3, 3, 1, 3]"
AFL,2022-02-23,"[7, 5, 8, 6, 5, 4]",[7],"[7, 5, 8, 6, 5, 4, 7]"
AFL,2023-02-24,"[7, 4, 3, 2, 3, 5, 2, 2, 5]",[7],"[7, 4, 3, 2, 3, 5, 2, 2, 5, 7]"
AFL,2024-02-22,"[3, 1, 3, 1]",[],"[3, 1, 3, 1]"
AIG,2021-02-19,"[8, 6, 6, 5, 7, 6, 3, 5, 5, 5, 6, 6]","[8, 6]","[8, 6, 6, 5, 7, 6, 3, 5, 5, 5, 6, 6, 8, 6]"
AIG,2022-02-17,"[8, 7, 7, 3, 5, 5]",[8],"[8, 7, 7, 3, 5, 5, 8]"
AIG,2023-02-17,"[7, 8, 8, 5, 4, 3]",[7],"[7, 8, 8, 5, 4, 3, 7]"
AIG,2024-02-14,"[7, 2, 3, 8, 8, 6, 5, 3, 4]",[6],"[7, 2, 3, 8, 8, 6, 5, 3, 4, 6]"
AIZ,2021-02-19,"[6, 6, 8, 7, 7, 6, 6, 7, 5, 5, 4, 6, 6, -2, 6, 5, 4, -1, 5, 5, 6, 5, 4]",[6],"[6, 6, 8, 7, 7, 6, 6, 7, 5, 5, 4, 6, 6, -2, 6, 5, 4, -1, 5, 5, 6, 5, 4, 6]"
AIZ,2022-02-22,"[7, 4, 7, 4, 5, 5, 5, 3, 4, 4, 3, 4, 3, 5, 5, 5]",[],"[7, 4, 7, 4, 5, 5, 5, 3, 4, 4, 3, 4, 3, 5, 5, 5]"
AIZ,2023-02-17,"[8, 5, 2, 4, 5, 5]",[],"[8, 5, 2, 4, 5, 5]"
AIZ,2024-02-15,"[4, 6, 5, 5]",[],"[4, 6, 5, 5]"
AJG,2021-02-08,"[7, 4, 8, 5, 2, 6, 2, 3]","[6, 2]","[7, 4, 8, 5, 2, 6, 2, 3, 6, 2]"
AJG,2022-02-18,"[5, 7, 5, 5, 2, 1]",[2],"[5, 7, 5, 5, 2, 1, 2]"
AJG,2023-02-10,"[8, 6, 7, 3, 7, 2]",[],"[8, 6, 7, 3, 7, 2]"
AJG,2024-02-09,"[4, 6, 6, 4]",[],"[4, 6, 6, 4]"
AKAM,2021-02-26,"[6, 6, 6, 5, 5, 5, 6, 5, 4, 2, 1]","[2, 0]","[6, 6, 6, 5, 5, 5, 6, 5, 4, 2, 1, 2, 0]"
AKAM,2022-02-28,"[5, 4, 6, 5, 5, 2, 6, 7, 4, 2, 3]","[2, 2]","[5, 4, 6, 5, 5, 2, 6, 7, 4, 2, 3, 2, 2]"
AKAM,2023-02-28,"[1, 5, 6, 5, 7, 8, 4, 6, 4]","[1, 6]","[1, 5, 6, 5, 7, 8, 4, 6, 4, 1, 6]"
AKAM,2024-02-28,"[4, 4, 3, 3]","[4, 3, 3]","[4, 4, 3, 3, 4, 3, 3]"
ALB,2021-02-19,"[7, 4, 2, -2, 7, 4]","[7, 2, 7, 1, 4, 3]","[7, 4, 2, -2, 7, 4, 7, 2, 7, 1, 4, 3]"
ALB,2022-02-22,"[5, 4, 4]","[5, 1, 0]","[5, 4, 4, 5, 1, 0]"
ALB,2023-02-15,"[7, 5, 4, 1]",[],"[7, 5, 4, 1]"
ALB,2024-02-15,"[4, 3, 3, 0]",[0],"[4, 3, 3, 0, 0]"
ALGN,2021-02-26,"[8, 8, 9, 7, 6, 7, 5, 5, 5, 4, 7, 5]",[8],"[8, 8, 9, 7, 6, 7, 5, 5, 5, 4, 7, 5, 8]"
ALGN,2022-02-25,"[9, 8, 5, 2, 5, 1, 6, 4, 6, 4, 5, 3, 4, 6]","[5, 6, 2]","[9, 8, 5, 2, 5, 1, 6, 4, 6, 4, 5, 3, 4, 6, 5, 6, 2]"
ALGN,2023-02-27,"[7, 8, 2, 7, 5, 6, 5]",[5],"[7, 8, 2, 7, 5, 6, 5, 5]"
ALGN,2024-02-28,"[2, 2, 3, 6, 4, 2, 3]",[],"[2, 2, 3, 6, 4, 2, 3]"
ALLE,2021-02-16,"[7, 9, 6, 8, 10, 6, 4, 3]",[7],"[7, 9, 6, 8, 10, 6, 4, 3, 7]"
ALLE,2022-02-15,"[6, 2, 6, 5, 6, 6, 3, 1, 2, 2]","[6, 5]","[6, 2, 6, 5, 6, 6, 3, 1, 2, 2, 6, 5]"
ALLE,2023-02-22,"[9, 9, 3, 4, 3, 4, 1, 6]",[],"[9, 9, 3, 4, 3, 4, 1, 6]"
ALLE,2024-02-20,"[6, 5, 6, 6, 4, 5]",[],"[6, 5, 6, 6, 4, 5]"
ALL,2021-02-22,"[5, 5, 8]","[5, -1, 2, 7]","[5, 5, 8, 5, -1, 2, 7]"
ALL,2022-02-18,"[6, 7, 8, 7, 4, 6, 7, 8, 8]","[7, 4, 7, 8, 8, 5, 1, 5]","[6, 7, 8, 7, 4, 6, 7, 8, 8, 7, 4, 7, 8, 8, 5, 1, 5]"
ALL,2023-02-16,"[6, 9, 7, 6, 6, 4, 8]","[9, 7, 6, 7, 5, 6, 4]","[6, 9, 7, 6, 6, 4, 8, 9, 7, 6, 7, 5, 6, 4]"
ALL,2024-02-21,"[4, 4, 5, 3, 4]","[4, 3]","[4, 4, 5, 3, 4, 4, 3]"
AMAT,2021-12-17,"[8, 7, 2, 7, 7, 3, 2, 5, 4, 4]",[8],"[8, 7, 2, 7, 7, 3, 2, 5, 4, 4, 8]"
AMAT,2022-12-16,"[7, 6, 7, 7, 5, 4]",[7],"[7, 6, 7, 7, 5, 4, 7]"
AMAT,2023-12-15,"[5, 4, 5]",[],"[5, 4, 5]"
AMAT,2024-12-13,"[3, 3]",[],"[3, 3]"
AMCR,2022-08-18,"[4, 3, 2, 4, 4, 4, 0, 4, 2, 4, 4, -5, 5, 4, 4, 3, 3]","[4, 2, -5, 5, 1, 2, 4, 2, 2, 3]","[4, 3, 2, 4, 4, 4, 0, 4, 2, 4, 4, -5, 5, 4, 4, 3, 3, 4, 2, -5, 5, 1, 2, 4, 2, 2, 3]"
AMCR,2023-08-17,"[4, 4, 8, 2]","[7, -2]","[4, 4, 8, 2, 7, -2]"
AMCR,2024-08-16,"[4, 6, 4, 5, 4, 3]",[],"[4, 6, 4, 5, 4, 3]"
AMD,2021-01-29,"[6, 3, 6, 2, 2, 5, 5, 6, 3, 4, 5, 4, 2, 1, 2, 3, 3, -1]","[-1, 1]","[6, 3, 6, 2, 2, 5, 5, 6, 3, 4, 5, 4, 2, 1, 2, 3, 3, -1, -1, 1]"
AMD,2022-02-03,"[4, 6, 6, 6, 3, 2, 6, 4, 3, 3, 2, 3, 3, 2, 3, -1]","[6, -1, -4]","[4, 6, 6, 6, 3, 2, 6, 4, 3, 3, 2, 3, 3, 2, 3, -1, 6, -1, -4]"
AMD,2023-02-27,"[5, 4, 2, 5, 1, 2, 4, 5, 2, 6, 2, -3, 5, 1, 6, 2, 5, 2, 2, 1, 2, 2]",[],"[5, 4, 2, 5, 1, 2, 4, 5, 2, 6, 2, -3, 5, 1, 6, 2, 5, 2, 2, 1, 2, 2]"
AMD,2024-01-31,"[1, 5, 5, 4, 1]",[],"[1, 5, 5, 4, 1]"
AME,2021-02-18,"[4, 5, 4, 0, 5, 2, 3, 4, 3, 3, 2]","[7, 7, 3, 6, 7, 3, 7, 0]","[4, 5, 4, 0, 5, 2, 3, 4, 3, 3, 2, 7, 7, 3, 6, 7, 3, 7, 0]"
AME,2022-02-22,"[5, 1, 1, 4, 1, 6, 1, 2, 4, 1, 2, 4, 1]","[1, 7, 4, 1]","[5, 1, 1, 4, 1, 6, 1, 2, 4, 1, 2, 4, 1, 1, 7, 4, 1]"
AME,2023-02-21,"[6, 1, 4, 6, 0, 4, 5, 5, 3, 5, 6, 3, 4, 4]","[1, 0, 8, 2]","[6, 1, 4, 6, 0, 4, 5, 5, 3, 5, 6, 3, 4, 4, 1, 0, 8, 2]"
AME,2024-02-22,"[5, 1]",[],"[5, 1]"
AMGN,2021-02-09,"[9, 7, 7, 7, 7, 6, 5, 5, 7, 6, 5]",[],"[9, 7, 7, 7, 7, 6, 5, 5, 7, 6, 5]"
AMGN,2022-02-16,"[10, 9, 8, 6, 6, 6, 4, 4, 3, 4, 3, 3, 4]",[],"[10, 9, 8, 6, 6, 6, 4, 4, 3, 4, 3, 3, 4]"
AMGN,2023-02-09,"[8, 7, 6, 5, 5, 5]",[],"[8, 7, 6, 5, 5, 5]"
AMGN,2024-02-14,"[5, 5, 5, 5, 4]","[6, 4]","[5, 5, 5, 5, 4, 6, 4]"
AMP,2021-02-24,"[5, 6, 4, 6, 8, 7, 5, 3]","[4, 5, -3]","[5, 6, 4, 6, 8, 7, 5, 3, 4, 5, -3]"
AMP,2022-02-25,"[7, 9, 7, 7, 8, 6, 5, 6, 5, 4]",[9],"[7, 9, 7, 7, 8, 6, 5, 6, 5, 4, 9]"
AMP,2023-02-23,"[7, 6, 5, 7, 0]",[],"[7, 6, 5, 7, 0]"
AMP,2024-02-22,"[6, 4, 1, 1]",[],"[6, 4, 1, 1]"
AMT,2021-02-25,"[5, 6, 8, 7, 7, 7, 6, 6, 6, 8]","[5, 7, 6]","[5, 6, 8, 7, 7, 7, 6, 6, 6, 8, 5, 7, 6]"
AMT,2022-02-25,"[7, 3, 3, 2, 3, 4, 3, 5, 6]",[3],"[7, 3, 3, 2, 3, 4, 3, 5, 6, 3]"
AMT,2023-02-23,"[5, 1, 1]",[0],"[5, 1, 1, 0]"
AMT,2024-02-27,"[4, 4, 4]",[],"[4, 4, 4]"
AMZN,2021-02-03,"[1, 5]","[5, 2, 0, 2, 10, 3, 4, 3, 1, 7]","[1, 5, 5, 2, 0, 2, 10, 3, 4, 3, 1, 7]"
AMZN,2022-02-04,"[4, 5, 1, 1]","[6, 7, 3]","[4, 5, 1, 1, 6, 7, 3]"
AMZN,2023-02-03,"[3, 4, 1, 4]",[7],"[3, 4, 1, 4, 7]"
AMZN,2024-02-02,"[2, 3, 4, 4, 2]",[],"[2, 3, 4, 4, 2]"
ANET,2021-02-19,"[7, 6, 8, 7, 4, 3, 3, 3, 1]",[8],"[7, 6, 8, 7, 4, 3, 3, 3, 1, 8]"
ANET,2022-02-15,"[8, 8, 4, 8, 8, 4, 5, 6, 9, 7, 4, 8, 4, 1, 2, 1, 4, 4, 3, 2, 5]","[5, 9, 4]","[8, 8, 4, 8, 8, 4, 5, 6, 9, 7, 4, 8, 4, 1, 2, 1, 4, 4, 3, 2, 5, 5, 9, 4]"
ANET,2023-02-14,"[6, 3, 1, 1, 3, 6]",[2],"[6, 3, 1, 1, 3, 6, 2]"
ANET,2024-02-13,"[4, 3, 0]",[],"[4, 3, 0]"
ANSS,2021-02-24,"[7, 5, 1, 3, 3, 2, 5, 3, 3, 7, 4, 2, 3, 4, 4, 3, 4, 3, 5, 5]","[7, 1, 3, 2, 3, 5, 1, 5, 3, 6, 1, 4, 4, 4]","[7, 5, 1, 3, 3, 2, 5, 3, 3, 7, 4, 2, 3, 4, 4, 3, 4, 3, 5, 5, 7, 1, 3, 2, 3, 5, 1, 5, 3, 6, 1, 4, 4, 4]"
ANSS,2022-02-23,"[9, 1, 2, 1, 4, 6, 6, 4, 1, 3, 8, 5, 5, 3, 3]","[9, 0, 0, 4, 0]","[9, 1, 2, 1, 4, 6, 6, 4, 1, 3, 8, 5, 5, 3, 3, 9, 0, 0, 4, 0]"
ANSS,2023-02-22,"[4, 4, 3, 7, 2, 4, 4, 0]",[],"[4, 4, 3, 7, 2, 4, 4, 0]"
ANSS,2024-02-21,"[2, 3, 4]",[],"[2, 3, 4]"
AON,2021-02-19,"[8, 7, 8, 6, 5, 6]","[7, 7, 6]","[8, 7, 8, 6, 5, 6, 7, 7, 6]"
AON,2022-02-18,"[3, 2, 8, 6, 5, 8, 5, 4, 3]","[8, 6, 2, 0, 0, 0, 3, 3, -1]","[3, 2, 8, 6, 5, 8, 5, 4, 3, 8, 6, 2, 0, 0, 0, 3, 3, -1]"
AON,2023-02-17,"[8, 7, 6, 9, 6, 5, 4, 3]",[],"[8, 7, 6, 9, 6, 5, 4, 3]"
AON,2024-02-16,"[5, 3, 1, 1]",[1],"[5, 3, 1, 1, 1]"
AOS,2021-02-12,"[7, 6, 7, 5, 3, 6, 4, 5, 4, 3, 3, 3, 5, 5, 3, 5]","[4, 0, 1, 3, 5]","[7, 6, 7, 5, 3, 6, 4, 5, 4, 3, 3, 3, 5, 5, 3, 5, 4, 0, 1, 3, 5]"
AOS,2022-02-11,"[4, 4, 5, 6, 5, 5, 4, 5]","[6, 8, 9, 4, 5]","[4, 4, 5, 6, 5, 5, 4, 5, 6, 8, 9, 4, 5]"
AOS,2023-02-14,"[4, 2, -1, 5, 6, 0, 4, 3, -1]","[6, 5, -1, -1, 5, -1]","[4, 2, -1, 5, 6, 0, 4, 3, -1, 6, 5, -1, -1, 5, -1]"
AOS,2024-02-13,"[4, 6, 5, 4]",[4],"[4, 6, 5, 4, 4]"
APA,2022-02-22,"[8, 5, 7, 8, 7, 4, 8, 4, 5, 7, 5, 5]","[8, 7, 5, 6]","[8, 5, 7, 8, 7, 4, 8, 4, 5, 7, 5, 5, 8, 7, 5, 6]"
APA,2023-02-23,"[8, 7, 8, 5, 3, 6, 3]",[7],"[8, 7, 8, 5, 3, 6, 3, 7]"
APA,2024-02-22,"[4, 6, 2, 3]",[],"[4, 6, 2, 3]"
APD,2021-11-18,"[6, 6, 4, 7, 3, 6, 0, 7, 3, 7, 6, 7, 7]",[],"[6, 6, 4, 7, 3, 6, 0, 7, 3, 7, 6, 7, 7]"
APD,2022-11-22,"[8, 7, 6, 6, 4, 5, 5, 3, 2]",[],"[8, 7, 6, 6, 4, 5, 5, 3, 2]"
APD,2023-11-16,"[4, 2]",[],"[4, 2]"
APD,2024-11-21,"[4, 3]",[],"[4, 3]"
APH,2021-02-10,"[5, 6, 7, 6, 3, 5, 5, 6, 4, 2, 3, 3, 4, 2, 3]","[6, 3, 5, 5, 6, 4, 2, 3, 2, -2, 3]","[5, 6, 7, 6, 3, 5, 5, 6, 4, 2, 3, 3, 4, 2, 3, 6, 3, 5, 5, 6, 4, 2, 3, 2, -2, 3]"
APH,2024-02-07,"[2, 4, 6, 6, 2, 3]",[],"[2, 4, 6, 6, 2, 3]"
APO,2023-03-01,"[9, 7, 3, 4, 6, 10, 4, 1]",[],"[9, 7, 3, 4, 6, 10, 4, 1]"
APO,2024-02-27,"[4, 6]",[],"[4, 6]"
APTV,2021-02-08,"[6, 7, 4, 5, 7, 5, 6, 6, 6, 7, 4]","[6, 7, 5, 9, 6, 6, 7, 4]","[6, 7, 4, 5, 7, 5, 6, 6, 6, 7, 4, 6, 7, 5, 9, 6, 6, 7, 4]"
APTV,2022-02-07,"[8, 5, 7, 6, 5, 4, 1, 5, 7, 5, 3, 2]","[8, 5, 7, 6, 5, 1, 5, 7, 5]","[8, 5, 7, 6, 5, 4, 1, 5, 7, 5, 3, 2, 8, 5, 7, 6, 5, 1, 5, 7, 5]"
APTV,2023-02-08,"[6, 2, 4, 5, 6, 9, 4, 2, 0, 6, 0]","[6, 4, 5, 6, 9, 4, 2, 6]","[6, 2, 4, 5, 6, 9, 4, 2, 0, 6, 0, 6, 4, 5, 6, 9, 4, 2, 6]"
APTV,2024-02-06,"[4, 1, 2, 6, -2, 6, 1, 4]","[4, 6]","[4, 1, 2, 6, -2, 6, 1, 4, 4, 6]"
ARE,2021-02-01,"[7, 7, 5, 5, 4, 6]",[],"[7, 7, 5, 5, 4, 6]"
ARE,2022-01-31,"[4, 5, 5, 7, 3, 4, 3]",[],"[4, 5, 5, 7, 3, 4, 3]"
ARE,2023-01-30,"[7, 7, 6, 6, 5, 7]",[],"[7, 7, 6, 6, 5, 7]"
ARE,2024-01-29,"[4, 2, 2, 2, 3]",[],"[4, 2, 2, 2, 3]"
ATO,2021-11-12,"[5, 4, 0, 5]","[3, 2]","[5, 4, 0, 5, 3, 2]"
ATO,2022-11-14,[6],[1],"[6, 1]"
ATO,2023-11-14,"[2, 1, 3]",[],"[2, 1, 3]"
ATO,2024-11-18,"[4, 4, 5, 4, 3]",[4],"[4, 4, 5, 4, 3, 4]"
AVB,2021-02-25,"[7, 7, 6, 6, 5, 7, 6, 5, 3, 5, 4]","[7, 6, 8, 5, 8, 6]","[7, 7, 6, 6, 5, 7, 6, 5, 3, 5, 4, 7, 6, 8, 5, 8, 6]"
AVB,2022-02-25,"[5, 6, 4, 4, 7, 4, 3, 3, 7, 4, 4, 5, 5, 5, 5, 3, 2, 3, 4, 5, 5, 4, 5, 4, 6, 5, 4, 3, 4]","[4, 3, 7, 4]","[5, 6, 4, 4, 7, 4, 3, 3, 7, 4, 4, 5, 5, 5, 5, 3, 2, 3, 4, 5, 5, 4, 5, 4, 6, 5, 4, 3, 4, 4, 3, 7, 4]"
AVB,2023-02-24,"[7, 7, 5, 5, 6, 6, 7, 6, 5]","[5, 7, 6]","[7, 7, 5, 5, 6, 6, 7, 6, 5, 5, 7, 6]"
AVB,2024-02-23,"[5, 6, 4, 4, 4, 4, 6, 5, 6, 5, 5, 4, 2, 4]",[],"[5, 6, 4, 4, 4, 4, 6, 5, 6, 5, 5, 4, 2, 4]"
AVGO,2021-12-17,"[4, 4, 8, 5, 5, 4, 5, 4, 5, 0]",[],"[4, 4, 8, 5, 5, 4, 5, 4, 5, 0]"
AVGO,2022-12-16,"[4, 4, 6, 6, 4, 6, 5, 4, 5, 5, 5, -2, 3, 3, 3, 2]","[4, -2]","[4, 4, 6, 6, 4, 6, 5, 4, 5, 5, 5, -2, 3, 3, 3, 2, 4, -2]"
AVGO,2023-12-14,"[3, 4, 4]",[],"[3, 4, 4]"
AVGO,2024-12-20,"[4, 2]",[],"[4, 2]"
AVY,2021-02-25,"[7, 4, 2, 5, 3, 3, 2, 4, 3, 1, 3, 2, 4, 2, 3, 4, 3, 2, 1, 5, 2, 3, 4, 3, 3, 2, 3, 3, 2]",[],"[7, 4, 2, 5, 3, 3, 2, 4, 3, 1, 3, 2, 4, 2, 3, 4, 3, 2, 1, 5, 2, 3, 4, 3, 3, 2, 3, 3, 2]"
AVY,2022-02-23,"[6, 5, 6, 6, 5, 4, 4, 3, 4, 4, 3, 4]",[],"[6, 5, 6, 6, 5, 4, 4, 3, 4, 4, 3, 4]"
AVY,2023-02-22,"[8, 6, 7, 7, 1, 1, 3, 6, 5]",[],"[8, 6, 7, 7, 1, 1, 3, 6, 5]"
AVY,2024-02-21,"[5, 4, 3, 4, 1]",[2],"[5, 4, 3, 4, 1, 2]"
AWK,2021-02-24,"[5, 6, 7, 2]","[7, 4, -1, 3, 6, 1]","[5, 6, 7, 2, 7, 4, -1, 3, 6, 1]"
AWK,2022-02-16,"[4, 3, 2]","[7, 5, 2]","[4, 3, 2, 7, 5, 2]"
AWK,2023-02-15,"[4, 4, 3]",[],"[4, 4, 3]"
AWK,2024-02-14,"[4, 1]","[2, 2]","[4, 1, 2, 2]"
AXON,2021-02-26,"[2, 4, 6, 4, 2]","[2, 4, 6, 8, 3, -2]","[2, 4, 6, 4, 2, 2, 4, 6, 8, 3, -2]"
AXON,2022-02-25,"[7, 1, 3, 3, 5, 2, 1, 4]","[7, 1]","[7, 1, 3, 3, 5, 2, 1, 4, 7, 1]"
AXON,2023-02-28,"[5, 3, 3, 2]",[],"[5, 3, 3, 2]"
