Year,model,event_name,total_score,evidence_count,avg_snippet_score,max_snippet_score,min_snippet_score,total_components,avg_components_per_snippet,positive_points_total,negative_points_total,holistic_analyisis_lenght,latency_second,error
2021,gpt-5.3-codex,Brexit_Referendum,17,4,4.25,5,4,8,2,17,0,218,0,
2021,gpt-5.3-codex,COVID_19_Pandemic,28,4,7,7,7,8,2,28,0,218,0,
2021,gpt-5.3-codex,Global_Financial_Crisis_Subprime,12,4,3,3,3,8,2,16,-1,233,0,
2021,gpt-5.3-codex,Israel_Hamas_Conflict,0,0,0,0,0,0,0,0,0,210,0,
2021,gpt-5.3-codex,Paris_Agreement_on_Climant_change,17,4,4.25,5,4,8,2,17,0,234,0,
2021,gpt-5.3-codex,Russia_Ukraine_Conflict,0,0,0,0,0,0,0,0,0,212,0,
2021,gpt-5.3-codex,US_China_Chip_Export_Controls,0,0,0,0,0,0,0,0,0,218,0,
2022,gpt-5.3-codex,Arab_Spring,12,4,3,3,3,8,2,13,0,212,0,
2022,gpt-5.3-codex,Brexit_Referendum,17,4,4.25,5,4,8,2,17,0,218,0,
2022,gpt-5.3-codex,COVID_19_Pandemic,26,4,6.5,7,6,8,2,17,0,218,0,
2022,gpt-5.3-codex,Global_Financial_Crisis_Subprime,12,4,3,3,3,8,2,16,-1,233,0,
2022,gpt-5.3-codex,Israel_Hamas_Conflict,0,0,0,0,0,0,0,0,0,210,0,
2022,gpt-5.3-codex,Paris_Agreement_on_Climant_change,17,4,4.25,5,4,8,2,17,0,234,0,
2022,gpt-5.3-codex,Russia_Ukraine_Conflict,27,4,6.75,7,6,8,2,27,0,224,0,
2022,gpt-5.3-codex,US_China_Chip_Export_Controls,26,4,6.5,7,6,8,2,26,0,230,0,
2022,gemini-3.1-pro,Arab_Spring,6,3,2,2,2,6,2,10,-3,243,10.14513,
2022,gemini-3.1-pro,Brexit_Referendum,10,3,3.33,4,3,6,2,13,-3,250,14.03996,
2022,gemini-3.1-pro,COVID_19_Pandemic,14,3,4.67,5,4,6,2,17,-3,250,9.819129,
2022,gemini-3.1-pro,Global_Financial_Crisis_Subprime,6,3,2,2,2,6,2,12,-4,264,12.96068,
2022,gemini-3.1-pro,Israel_Hamas_Conflict,0,0,0,0,0,0,0,0,0,213,10.49241,
2022,gemini-3.1-pro,Paris_Agreement_on_Climant_change,10,3,3.33,4,3,6,2,13,-3,266,8.568184,
2022,gemini-3.1-pro,Russia_Ukraine_Conflict,15,3,5,5,5,6,2,18,-3,256,9.120226,
2022,gemini-3.1-pro,US_China_Chip_Export_Controls,14,3,4.67,5,4,6,2,17,-3,262,8.576239,
2022,claude-opus-4.5,Arab_Spring,11,5,2.2,3,2,10,2,11,0,479,21.6,
2022,claude-opus-4.5,Brexit_Referendum,20,5,4,5,3,11,2.2,21,-1,485,24.1,
2022,claude-opus-4.5,COVID_19_Pandemic,29,5,5.8,7,5,11,2.2,29,0,485,20.4,
2022,claude-opus-4.5,Global_Financial_Crisis_Subprime,14,5,2.8,3,2,11,2.2,15,-1,500,19.9,
2022,claude-opus-4.5,Israel_Hamas_Conflict,0,0,0,0,0,0,0,0,0,326,26.7,
2022,claude-opus-4.5,Paris_Agreement_on_Climant_change,23,5,4.6,6,4,11,2.2,23,0,501,27.5,
2022,claude-opus-4.5,Russia_Ukraine_Conflict,31,5,6.2,7,6,10,2,31,0,491,24.2,
2022,claude-opus-4.5,US_China_Chip_Export_Controls,26,5,5.2,6,4,11,2.2,27,-1,497,21.7,
2023,gpt-5.3-codex,Arab_Spring,12,4,3,3,3,8,2,13,0,212,0,
2023,gpt-5.3-codex,Brexit_Referendum,17,4,4.25,5,4,8,2,17,0,218,0,
2023,gpt-5.3-codex,COVID_19_Pandemic,25,4,6.25,7,6,8,2,25,0,218,0,
2023,gpt-5.3-codex,Global_Financial_Crisis_Subprime,12,4,3,3,3,8,2,16,-1,233,0,
2023,gpt-5.3-codex,Israel_Hamas_Conflict,0,0,0,0,0,0,0,0,0,210,0,
2023,gpt-5.3-codex,Paris_Agreement_on_Climant_change,17,4,4.25,5,4,8,2,17,0,234,0,
2023,gpt-5.3-codex,Russia_Ukraine_Conflict,27,4,6.75,7,6,8,2,27,0,224,0,
2023,gpt-5.3-codex,US_China_Chip_Export_Controls,27,4,6.75,7,6,8,2,27,0,230,0,
2023,gemini-3.1-pro,Arab_Spring,6,3,2,2,2,6,2,10,-3,243,9.649013,
2023,gemini-3.1-pro,Brexit_Referendum,10,3,3.33,4,3,6,2,13,-3,250,12.57778,
2023,gemini-3.1-pro,COVID_19_Pandemic,13,3,4.33,5,4,6,2,16,-3,250,10.93095,
2023,gemini-3.1-pro,Global_Financial_Crisis_Subprime,6,3,2,2,2,6,2,12,-4,264,10.261,
2023,gemini-3.1-pro,Israel_Hamas_Conflict,0,0,0,0,0,0,0,0,0,213,11.63011,
2023,gemini-3.1-pro,Paris_Agreement_on_Climant_change,10,3,3.33,4,3,6,2,13,-3,266,12.16223,
2023,gemini-3.1-pro,Russia_Ukraine_Conflict,15,3,5,5,5,6,2,18,-3,256,14.14205,
2023,gemini-3.1-pro,US_China_Chip_Export_Controls,15,3,5,5,5,6,2,18,-3,262,10.91789,
2023,claude-opus-4.5,Arab_Spring,11,5,2.2,3,2,10,2,11,0,479,27.2,
2023,claude-opus-4.5,Brexit_Referendum,21,5,4.2,5,4,10,2,21,0,485,23.1,
2023,claude-opus-4.5,COVID_19_Pandemic,28,5,5.6,7,5,11,2.2,28,0,485,18.3,
2023,claude-opus-4.5,Global_Financial_Crisis_Subprime,14,5,2.8,3,2,11,2.2,15.-1,500,26.3,
2023,claude-opus-4.5,Israel_Hamas_Conflict,20,4,5,5,5,8,2,20,0,489,23.8,
2023,claude-opus-4.5,Paris_Agreement_on_Climant_change,23,5,4.6,6,4,11,2.2,23,0,501,27.7,
2023,claude-opus-4.5,Russia_Ukraine_Conflict,31,5,6.2,7,6,10,2,31,0,491,23.3,
2023,claude-opus-4.5,US_China_Chip_Export_Controls,28,5,5.6,6,5,10,2,28,0,497,25,
2024,gpt-5.3-codex,Arab_Spring,12,4,3,3,3,8,2,13,0,212,0,
2024,gpt-5.3-codex,Brexit_Referendum,16,4,4,5,3,8,2,17,-1,218,0,
2024,gpt-5.3-codex,COVID_19_Pandemic,18,4,4.5,5,4,8,2,18,0,218,0,
2024,gpt-5.3-codex,Global_Financial_Crisis_Subprime,12,4,3,3,3,8,2,16,-1,233,0,
2024,gpt-5.3-codex,Israel_Hamas_Conflict,0,0,0,0,0,0,0,0,0,210,0,
2024,gpt-5.3-codex,Paris_Agreement_on_Climant_change,17,4,4.25,5,4,8,2,17,0,234,0,
2024,gpt-5.3-codex,Russia_Ukraine_Conflict,27,4,6.75,7,6,8,2,27,0,224,0,
2024,gpt-5.3-codex,US_China_Chip_Export_Controls,27,4,6.75,7,6,8,2,27,0,230,0,
2024,gemini-3.1-pro,Arab_Spring,6,3,2,2,2,6,2,10,-3,243,11.12685,
2024,gemini-3.1-pro,Brexit_Referendum,9,3,3,4,2,6,2,13,-4,249,12.14511,
2024,gemini-3.1-pro,COVID_19_Pandemic,11,3,3.67,4,3,6,2,14,-3,250,13.68128,
2024,gemini-3.1-pro,Global_Financial_Crisis_Subprime,6,3,2,2,2,6,2,12,-4,264,13.90121,
2024,gemini-3.1-pro,Israel_Hamas_Conflict,0,0,0,0,0,0,0,0,0,213,13.37492,
2024,gemini-3.1-pro,Paris_Agreement_on_Climant_change,10,3,3.33,4,3,6,2,13,-1,266,10.95112,
2024,gemini-3.1-pro,Russia_Ukraine_Conflict,15,3,5,5,5,6,2,18,-3,256,12.62367,
2024,gemini-3.1-pro,US_China_Chip_Export_Controls,15,3,5,5,5,6,2,18,-3,262,12.1121,
2024,claude-opus-4.5,Arab_Spring,11,5,2.2,3,2,10,2,11,0,479,23.8,
2024,claude-opus-4.5,Brexit_Referendum,20,5,4,5,3,11,2.2,21,-1,485,22,
2024,claude-opus-4.5,COVID_19_Pandemic,23,5,4.6,5,4,10,2,23,0,485,26.4,
2024,claude-opus-4.5,Global_Financial_Crisis_Subprime,14,5,2.8,3,2,11,2.2,15,-1,500,18.7,
2024,claude-opus-4.5,Israel_Hamas_Conflict,20,4,5,5,5,8,2,20,0,489,25.8,
2024,claude-opus-4.5,Paris_Agreement_on_Climant_change,21,5,4.2,5,4,10,2,21,0,501,20.6,
2024,claude-opus-4.5,Russia_Ukraine_Conflict,31,5,6.2,7,6,10,2,31,0,491,22.1,
2024,claude-opus-4.5,US_China_Chip_Export_Controls,28,5,5.6,6,5,10,2,28,0,497,27.1,






